ID,status,title
0,Close,Others
1,Done,Black Barrow
2,Done,Barrow Lair
63,Done,Magma pit
3,Done,Inox Encampement
4,Done,Crypt of the Damned
5,Done,Ruinous Crypt
6,Done,Decaying Crypt
8,Done,Gloomhaven Warehouse
9,Close,Diamond Mine
7,Done,Vibrant Grotto
10,Open, Plane of Elemental Power
13,Done,Temple of the Seer
14,Done,Frozen Hollow
15,Open,Shrine of Strength
16,Done, Mountain Pass
18,Open,Abandoned Sewers
19,Done,Forgotten Crypt
20,Done,Necromancer's Sanctum
24,Done,Echo Chamber
25,Done,Icecrag Ascent
26,Open,Ancien Citern
27,Open,Stonebreaker's Censer
28,Open,Outer Ritual Chamber
30,Open,Shrine of the Depths
31,Close,Plane of Night
32,Open,Decrepit Wood
33,Open,Savvas Armory
34,Open,Scorched Summit
37,Open,Doom Trench
43,Done,Drake Nest
67,Open,Arcane Library
69,Open,Well of the Unfortunate
70,Open,Chained Isle
93,Done,Sunken Vessel


